candidate_id,candidate_name,candidate_url,party,criminal_cases,education,age,total_assets,liabilities,constituency,constituency_id,district,total_assets_inr,liabilities_inr,age_int,criminal_cases_int
442,Ravanan M.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=442,Naadaalum Makkal Katchi,0,12th Pass,59,,,JAYANKONDAM,2,ARIYALUR,,,59,0
2974,Ravisankar N.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2974,Aanaithinthiya Jananayaka Pathukappu Kazhagam,6,12th Pass,54,"Rs 5,81,55,069 ~ 5 Crore+","Rs 2,31,30,615 ~ 2 Crore+",JAYANKONDAM,2,ARIYALUR,581550695.0,231306152.0,54,6
50,Revathi K.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=50,Naam Tamilar Katchi,0,Post Graduate,37,"Rs 3,09,000 ~ 3 Lacs+",Rs 0 ~,JAYANKONDAM,2,ARIYALUR,3090003.0,0.0,37,0
2972,Sankar M.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2972,Rashtriya Samaj Dal (R),0,5th Pass,42,,,JAYANKONDAM,2,ARIYALUR,,,42,0
765,Vaithilingam G.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=765,Pattali Makkal Katchi,1,12th Pass,52,"Rs 4,77,48,613 ~ 4 Crore+","Rs 19,17,424 ~ 19 Lacs+",JAYANKONDAM,2,ARIYALUR,477486134.0,191742419.0,52,1
2982,Venkatajalapathi R.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2982,IND,0,8th Pass,59,"Rs 37,24,145 ~ 37 Lacs+","Rs 75,000 ~ 75 Thou+",JAYANKONDAM,2,ARIYALUR,372414537.0,7500075.0,59,0
2981,Vinothsavariremijeas C.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2981,IND,1,10th Pass,36,"Rs 4,69,50,132 ~ 4 Crore+","Rs 2,25,58,374 ~ 2 Crore+",JAYANKONDAM,2,ARIYALUR,469501324.0,225583742.0,36,1
2577,A.Esakkiappan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2577,IND,0,Graduate Professional,44,"Rs 10,63,500 ~ 10 Lacs+","Rs 90,000 ~ 90 Thou+",CHENGALPATTU,23,CHENGALPATTU,106350010.0,9000090.0,44,0
23,Amutha.N,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=23,Naam Tamilar Katchi,0,Graduate,56,"Rs 23,63,000 ~ 23 Lacs+",Rs 0 ~,CHENGALPATTU,23,CHENGALPATTU,236300023.0,0.0,56,0
2583,C.Vimalraj,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2583,IND,0,Post Graduate,34,,,CHENGALPATTU,23,CHENGALPATTU,,,34,0
2579,G. Christopher,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2579,IND,0,Graduate Professional,29,"Rs 32,000 ~ 32 Thou+",Rs 0 ~,CHENGALPATTU,23,CHENGALPATTU,3200032.0,0.0,29,0
2578,Karthick.A,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2578,IND,0,Others,33,"Rs 29,71,000 ~ 29 Lacs+",Rs 0 ~,CHENGALPATTU,23,CHENGALPATTU,297100029.0,0.0,33,0
1152,Karthikdhandapani,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1152,DMK,0,Graduate Professional,43,,,CHENGALPATTU,23,CHENGALPATTU,,,43,0
2576,M.Anandan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2576,IND,0,10th Pass,41,"Rs 1,40,000 ~ 1 Lacs+",Rs 0 ~,CHENGALPATTU,23,CHENGALPATTU,1400001.0,0.0,41,0
1140,M.Gajendran,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1140,AIADMK,1,Graduate,47,"Rs 20,82,84,190 ~ 20 Crore+","Rs 8,99,18,716 ~ 8 Crore+",CHENGALPATTU,23,CHENGALPATTU,20828419020.0,899187168.0,47,1
501,S. Saravanan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=501,BSP,0,Post Graduate,46,"Rs 33,59,349 ~ 33 Lacs+","Rs 10,95,000 ~ 10 Lacs+",CHENGALPATTU,23,CHENGALPATTU,335934933.0,109500010.0,46,0
2575,S. Thiyagarajan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2575,Tamilaga Vettri Kazhagam,0,Graduate Professional,37,"Rs 81,48,036 ~ 81 Lacs+","Rs 2,90,000 ~ 2 Lacs+",CHENGALPATTU,23,CHENGALPATTU,814803681.0,2900002.0,37,0
2580,S.Delhi Babu,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2580,IND,0,Post Graduate,51,,,CHENGALPATTU,23,CHENGALPATTU,,,51,0
2574,S.Selvam Alias Chella,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2574,Tamizhaga Vaazhvurimai Katchi,1,Graduate Professional,44,"Rs 44,06,947 ~ 44 Lacs+","Rs 32,90,000 ~ 32 Lacs+",CHENGALPATTU,23,CHENGALPATTU,440694744.0,329000032.0,44,1
2581,T. Prem Balaji,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2581,IND,0,Graduate Professional,51,"Rs 90,419 ~ 90 Thou+",Rs 0 ~,CHENGALPATTU,23,CHENGALPATTU,9041990.0,0.0,51,0
2582,V. Ramakrishnan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2582,IND,1,Others,45,,,CHENGALPATTU,23,CHENGALPATTU,,,45,1
681,Ambethkar. S,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=681,IND,0,5th Pass,46,"Rs 52,000 ~ 52 Thou+",Rs 0 ~,CHEYYUR (SC),25,CHENGALPATTU,5200052.0,0.0,46,0
2895,Arun. C,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2895,IND,0,Others,37,"Rs 12,500 ~ 12 Thou+","Rs 55,000 ~ 55 Thou+",CHEYYUR (SC),25,CHENGALPATTU,1250012.0,5500055.0,37,0
2896,Ezhil. E,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2896,IND,0,10th Pass,34,,,CHEYYUR (SC),25,CHENGALPATTU,,,34,0
2893,Gangadurai. K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2893,Tamizhaga Vaazhvurimai Katchi,0,8th Pass,39,"Rs 18,00,500 ~ 18 Lacs+","Rs 9,65,000 ~ 9 Lacs+",CHEYYUR (SC),25,CHENGALPATTU,180050018.0,9650009.0,39,0
2898,Gopikrishna. D,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2898,IND,0,Graduate Professional,39,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,CHEYYUR (SC),25,CHENGALPATTU,50005.0,0.0,39,0
2900,Jegan. M,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2900,IND,0,10th Pass,31,,,CHEYYUR (SC),25,CHENGALPATTU,,,31,0
