district,constituency,constituency_id,url
DINDIGUL,NATHAM,56,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=56
NATHAM,NILAKKOTTAI (SC),55,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=55
NILAKKOTTAI (SC),ODDANCHATRAM,53,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=53
ODDANCHATRAM,PALANI,52,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=52
PALANI,VEDASANDUR,58,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=58
ERODE,ANTHIYUR,64,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=64
ANTHIYUR,BHAVANI,63,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=63
BHAVANI,BHAVANISAGAR (SC),66,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=66
BHAVANISAGAR (SC),ERODE (EAST),59,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=59
ERODE (EAST),ERODE (WEST),60,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=60
ERODE (WEST),GOBICHETTIPALAYAM,65,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=65
GOBICHETTIPALAYAM,MODAKKURICHI,61,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=61
MODAKKURICHI,PERUNDURAI,62,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=62
KALLAKURICHI,KALLAKURICHI (SC),70,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=70
KALLAKURICHI (SC),RISHIVANDIYAM,68,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=68
RISHIVANDIYAM,SANKARAPURAM,69,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=69
SANKARAPURAM,ULUNDURPETTAI,67,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=67
