candidate_id,candidate_name,party,constituency,district,age_detail,age_int,education,education_full,self_profession,spouse_profession,s_o_d_o_w_o,voter_enrolled,candidate_url,assets_inr,liab_inr,net_worth_inr,liab_to_asset_ratio,movable_total_inr,movable_cash_inr,movable_deposits_inr,movable_shares_inr,movable_jewellery_inr,movable_vehicles_inr,movable_loans_given_inr,movable_company_holdings_count,immovable_total_inr,immovable_agri_land_inr,immovable_non_agri_land_inr,immovable_commercial_bldg_inr,immovable_residential_bldg_inr,immovable_zero_cost_non_inherited_count,immovable_outside_tn_flag,liab_bank_loans_inr,liab_income_tax_dues_inr,liab_govt_dept_dues_inr,liab_disputed_liability_inr,liquid_assets_inr,liquid_share_of_movable,movable_self_inr,movable_spouse_inr,itr_self_pan_given,itr_self_5y_total,itr_self_latest,itr_spouse_5y_total,wealth_to_income_ratio,criminal_total_cases,criminal_pending,criminal_convicted,criminal_charges_framed,criminal_serious_count,criminal_special_acts_count,criminal_women_court_count,criminal_repeat_station,appeal_filed_on_conviction,all_sections,all_special_acts,flag_assets_not_disclosed,flag_charges_framed,flag_convicted,flag_crorepati,flag_disputed_liability,flag_education_unknown,flag_govt_dues,flag_has_criminal_case,flag_high_cash,flag_liab_not_disclosed,flag_many_companies,flag_no_itr_filed,flag_pan_not_given,flag_profession_blank,flag_serious_crime,flag_special_act,flag_spouse_housewife_with_high_assets,flag_tax_dues,flag_voter_constituency_mismatch,flag_women_court,redflag_score,assets_total_inr,liabilities_total_inr,num_criminal_cases,education_summary,age_summary,criminal_cases_summary,total_assets_summary,liabilities_summary,criminal_cases_int,total_assets_inr,liabilities_inr,total_assets,liabilities,assets_total_inr_clean,liab_total_inr_clean,movable_lic_inr,movable_nss_inr,movable_other_movable_inr,immovable_other_immovable_inr,liab_other_liability_inr,liab_total_inr
2974,Ravisankar N.,Aanaithinthiya Jananayaka Pathukappu Kazhagam,JAYANKONDAM,ARIYALUR,54,54,12th Pass,,Agriculture,Agriculture /Contractor,Narayanan,"150Jayangondam constituency, at Serial no 540 in Part no 134",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2974,58155069.0,23130615.0,35024454.0,0.3977403070401309,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,1532990,476250,3293600,37.935713214045755,6.0,6.0,0.0,2.0,4.0,1.0,0.0,False,,"143, 148, 149, 380, 411, 427, 451; 143, 188, 269; 143, 290, 341; 296B, 351(2)",Sec- 493(A) Explosive Act,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,6,,,6,12th Pass,54,6,"Rs 5,81,55,069 ~ 5 Crore+","Rs 2,31,30,615 ~ 2 Crore+",6,581550695.0,231306152.0,"Rs 5,81,55,069 ~ 5 Crore+","Rs 2,31,30,615 ~ 2 Crore+",58155069.0,23130615.0,,,,,,
3055,Padmanathan V,IND,TITTAKUDI (SC),PANRUTI,53,53,Graduate Professional,Graduate Professional,Lawyer,House Wife,Vasudevan,"151 Tittakudi constituency, at Serial no 292 in Part no 248",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3055,,,0.0,,31000.0,15000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,28000.0,0.0,0.0,0.0,15000.0,0.4838709677419355,25000.0,6000.0,Y,0,0,0,,6.0,6.0,0.0,0.0,4.0,0.0,0.0,True,,"143, 188; 143, 341; 294B, 323, 341, 506(i)",,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,6,32000.0,50000.0,6,Graduate Professional,53,6,,,6,,,,,,,0.0,0.0,0.0,0.0,0.0,28000.0
653,Thanga. Shanmuga Sundaram,Naadaalum Makkal Katchi,ARIYALUR,ARIYALUR,48,48,Post Graduate,,Agriculture,Part-time LIC Agent,V. Thangarasu Udaiyar,"149 Ariyalur constituency, at Serial no 286 in Part no 183",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=653,14837499.0,0.0,14837499.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,92215,,5.0,5.0,0.0,5.0,4.0,0.0,1.0,False,,"143; 143, 188, 341; 290, 353; 296b, 351(3); 341, 353, 506(i)",,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,6,,,5,Post Graduate,48,5,"Rs 1,48,37,499 ~ 1 Crore+",Rs 0 ~,5,148374991.0,0.0,"Rs 1,48,37,499 ~ 1 Crore+",Rs 0 ~,14837499.0,0.0,,,,,,
1179,Chellakumar.A,INC,KRISHNAGIRI,HOSUR,66,66,Graduate Professional,,"Business;Dealership for Hindustan Petroleum Corporation Limited, let out commercial properties for rent","Employed as Manager in Saran Agencies, Maduravoyal",C.Arunachalam,"Anna Nagar constituency, at Serial no 427 in Part no 61",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1179,149960986.0,51372467.0,98588519.0,0.3425722140824014,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,27013796,5148150,0,5.551274097131703,4.0,4.0,0.0,4.0,2.0,2.0,0.0,False,,"120B, 147, 447, 430, 434, 109, 114, 149; 447, 379, 430, 109, 114, 434, 308, 109, 114; 500","Section 3(i), 3(ii) & 4 of TNP (PD&L) Act 1992, Sec. 6 r/w 3(a) & 4(a) of Explosive Substance Act, 1908; Section 45(1), 3, 4, 8(5) The Prevention of Money Laundering Act, 2002",False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,6,,,4,Graduate Professional,66,4,"Rs 14,99,60,986 ~ 14 Crore+","Rs 5,13,72,467 ~ 5 Crore+",4,14996098614.0,513724675.0,"Rs 14,99,60,986 ~ 14 Crore+","Rs 5,13,72,467 ~ 5 Crore+",149960986.0,51372467.0,,,,,,
103,Muthukumar M,Naam Tamilar Katchi,NAGERCOIL,KILLIYOOR,38,38,Others,,Self Employed,NIL,S Murugan,"230 Nagarkovil constituency, at Serial no 341 in Part no 262",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=103,18174110.0,6640886.0,11533224.0,0.3654036428743966,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,1877110,705650,0,9.68196323071104,4.0,4.0,0.0,4.0,3.0,0.0,0.0,True,,"170; 189(2), 126(2), 223, 329(3), 293,132; 189(2), 126(2), 293; 189(2), 296(6), 126(2), 132",,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,6,,,4,Others,38,4,"Rs 1,81,74,110 ~ 1 Crore+","Rs 66,40,886 ~ 66 Lacs+",4,181741101.0,664088666.0,"Rs 1,81,74,110 ~ 1 Crore+","Rs 66,40,886 ~ 66 Lacs+",18174110.0,6640886.0,,,,,,
804,Rubin Antony,Tamizhaga Vaazhvurimai Katchi,KILLIYOOR,KANNIYAKUMARI,30,30,Others,,"Used Vehicle, Business",,Selvan,"Killiyur constituency, at Serial no 254 in Part no 51",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=804,1841000.0,159543.0,1681457.0,0.08666105377512222,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,4.0,4.0,0.0,4.0,2.0,0.0,0.0,True,,"147, 148, 109, 294(b), 323, 324, 307, 506(2); 147, 294(b), 323, 341, 506(1)",,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,6,,,4,Others,30,4,"Rs 18,41,000 ~ 18 Lacs+","Rs 1,59,543 ~ 1 Lacs+",4,184100018.0,1595431.0,"Rs 18,41,000 ~ 18 Lacs+","Rs 1,59,543 ~ 1 Lacs+",1841000.0,159543.0,,,,,,
1539,K.V. Vijay Damu,Tamilaga Vettri Kazhagam,ROYAPURAM,PERAMBUR,46,46,8th Pass,,Auto Consulting Business,Self-Employed,Kanniyappan,"Velachery constituency, at Serial no 113 in Part no 213",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1539,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,4.0,4.0,0.0,0.0,1.0,0.0,0.0,True,,"189(3), 189(5), 287",,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,6,,,4,8th Pass,46,4,,,4,,,,,,,,,,,,
45,Seethalakshmi.M.K,Naam Tamilar Katchi,GOBICHETTIPALAYAM,ERODE (WEST),51,51,Post Graduate,,"Teacher, Cable Operator, Farmer, Acu Healer","Cable TV Service Industry, Sruthi Network, (Cable TV Operator) Athani Erode District",R. Chezhiyan,"04, Bhavani Assembly Constituency constituency, at Serial no 235 in Part no 243",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=45,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,549904,549904,0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,False,,"124A, 143, 153A, 188; 143, 153, 504, 505(i)(b); 171H; 191(2), 174, 123",,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,6,,,4,Post Graduate,51,4,,,4,,,,,,,,,,,,
856,Abishek. R,AIADMK,EGMORE (SC),DR.RADHAKRISHNAN NAGAR,36,36,Graduate Professional,,"Clothing Manufacturing Company, Trading Business",Apparel Manufacturing Company,Rengasamy,"Egmore constituency, at Serial no 646 in Part no 54",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=856,135908134.0,117796632.0,18111502.0,0.8667371740973208,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,37961880,6939830,3124540,3.5801212690203963,3.0,3.0,0.0,1.0,2.0,2.0,0.0,False,,"147, 148, 294B, 342, 323, 363, 506(2); 147, 148, 294B, 353, 506(ii), 120B","Section 25(1A) Arms Act., (Chargesheet not filed yet); Section 25(1A) of Arms Act and Section 8(c) r/w 20(b)(ii)(A) of NDPS Act.",False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,6,,,3,Graduate Professional,36,3,"Rs 13,59,08,134 ~ 13 Crore+","Rs 11,77,96,632 ~ 11 Crore+",3,13590813413.0,11779663211.0,"Rs 13,59,08,134 ~ 13 Crore+","Rs 11,77,96,632 ~ 11 Crore+",135908134.0,117796632.0,,,,,,
3008,Saamy. S.K. Dr,IND,CHEPAUK-THIRUVALLIKENI,ANNA NAGAR,48,48,Doctorate,,"Advocate, Supreme Court Public Service, Editor, Founder, Trustee","Agriculture, Legal Journalism",N. Karuppaswamy,"28- Alandur constituency, at Serial no 591 in Part no 16",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3008,48270460.0,0.0,48270460.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,3.0,3.0,0.0,2.0,3.0,0.0,0.0,False,,"170, 177, 417, 419, 420, 120B; 296b, 132, 351(2); 420",,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,6,,,3,Doctorate,48,3,"Rs 4,82,70,460 ~ 4 Crore+",Rs 0 ~,3,482704604.0,0.0,"Rs 4,82,70,460 ~ 4 Crore+",Rs 0 ~,48270460.0,0.0,,,,,,
